Título,Tipo Documento,Autores,Año,Fuente,Resumen,Enlace,PDF,Citas,Enlaces Relacionados,Idioma,Facultad,Institución,Timestamp
[HTML][HTML]Bienestar psicológico en estudiantes repitentes de la Facultad de Psicología de laUniversidad de La Habana,Artículo,"V Araujo Herrera, D Savignon Araujo - Revista Cubana de Educación …, 2018 - scielo.sld.cu",20,18 - scielo.sld.cu,"El presente trabajo parte de la importancia de investigar sobre el bienestar psicológico, porsu relación con todas las esferas de la vida del individuo, con la conformación y desarrollo …",http://scielo.sld.cu/scielo.php?pid=S0257-43142018000200014&script=sci_arttext,,38,{},español,Facultad de Psicología,Universidad de La Habana,2025-06-06 20:18:45
La superación de directivos de la Administración Pública en el Centro de Estudios de la Administración Pública de laUniversidad de La Habana,Artículo,"VRR Acosta, AML Ramos, NT Pineda… - Revista cubana de …, 2020 - apye.esceg.cu",20,apye.esceg.cu,"… de Administración Pública de laUniversidaddeLaHabanacomo parte de su superación. …Este proceso fue caracterizado por Mariela Columbié en sutesisdoctoral, y lo periodiza en …",https://apye.esceg.cu/index.php/apye/article/view/119,,15,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:45
[HTML][HTML]La voz autoral en la escritura académica de estudiantes de ciencias sociales de laUniversidad de La Habana,Artículo,"A Jiménez Marata- Revista Estudios del Desarrollo Social: Cuba y …, 2021 - scielo.sld.cu",20,21 - scielo.sld.cu,"…tesises en parte cuestión de hacer que el texto del escritor hable alto. (p. 29) Pero, ¿quétienen lastesis… de muchos tribunales detesis, decía que latesisdoctoralera, en esencia, un …",http://scielo.sld.cu/scielo.php?pid=S2308-01322021000300009&script=sci_arttext,,6,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:45
"Proyecto integrado para la educación social, cultural del Instituto de Farmacia y Alimentos de laUniversidad de La Habana: presencia en el desarrollo local del …",Artículo,"JAR Insua, DG Labrada, GS Balseiro… - … del Desarrollo Social …, 2022 - dialnet.unirioja.es",20,22 - dialnet.unirioja.es,"En el artículo se expresan las experiencias del Instituto de Farmacia y Alimentos de laUniversidaddelaHabana(IFAL-UH), en la contribución al desarrollo local en el municipio La …",https://dialnet.unirioja.es/servlet/articulo?codigo=9001459,,2,{},español,Facultad de Farmacia y Alimentos,Universidad de La Habana,2025-06-06 20:18:45
Prevalencia del síndrome de burnout en personal asistencial de un hospital del departamento de Risaralda-Colombia,Artículo,"EYQ González, LAL Gutiérrez - Psicoespacios: Revista virtual de …, 2016 - dialnet.unirioja.es",20,16 - dialnet.unirioja.es,El síndrome de burnout es una vivencia negativa experimentada por el personal asistencialde salud como respuesta a factores estresores y demandantes. Se describe la prevalencia …,https://dialnet.unirioja.es/servlet/articulo?codigo=5755438,,13,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:45
[PDF][PDF]Integración del programa dedoctoradoen Ciencias Biológicas a la Red Iberoamericana de Biotecnología Isla Negra (RIABIN).,Artículo,"ME Lanio, M Seeger… - Cuban Journal of …, 2016 - doctoradoenbiotecnologia.cl",20,16 - doctoradoenbiotecnologia.cl,… dedoctoradotutelar de Ciencias Biológicas y programa curricular en Biociencias Molecularesde la Facultad de Biología de laUniversidaddeLaHabana… El programa dedoctoradode …,https://www.doctoradoenbiotecnologia.cl/wp-content/uploads/2021/11/Lanio_et_al_2016.pdf,,1,{},español,Facultad de Biología,Universidad de La Habana,2025-06-06 20:18:45
"[CITAS][C]… de los documentos detesisdel programa de la Maestría gestión de Información. 2006-2009. La Habana: Facultad de Economía,Universidad de La Habana; …",Tesis,"C UNESCO - 2009 - … ,Universidad de La Habana",20,"09 - … ,Universidad de La Habana",,,,5,{},español,Facultad de Economía,Universidad de La Habana,2025-06-06 20:18:45
[HTML][HTML]Creatividad y subjetividad: su expresión en el contexto escolar,Artículo,"Á Díaz Gómez,A Mitjáns Martínez- Diversitas: Perspectivas en …, 2013 - scielo.org.co",20,13 - scielo.org.co,… Albertina Mitjáns Martínez es psicóloga de laUniversidaddeLaHabana. Hizo sudoctoradoen Ciencias Psicológicas en laUniversidaddeLaHabana(1993) y cursó estudios de …,http://www.scielo.org.co/scielo.php?pid=S1794-99982013000200015&script=sci_arttext,,61,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:45
[CITAS][C]Diagnóstico y transformaciones en la evaluación del aprendizaje: Un estudio en la Facultad de Biología de laUniversidad de la Habana(Tesis doctoral),Tesis,"A Gort -Universidad de La Habana, Cuba, 2008",20,08,,,,4,{},español,Facultad de Biología,Universidad de La Habana,2025-06-06 20:18:52
[HTML][HTML]… de culminación de estudios en la disciplina Comunicación Institucional de la Facultad de Comunicación de LaUniversidad de La Habanaen el período …,Artículo,"AT Badía Valdés, U Madrazo,M Lugones Muro- Alcance, 2018 - scielo.sld.cu",20,18 - scielo.sld.cu,… Comunicación Institucional de la Facultad de Comunicación de laUniversidaddelaHabanadurante los años 2016 y 2017. Es unatesiscualitativa de tipo descriptiva pues a partir de …,http://scielo.sld.cu/scielo.php?pid=S2411-99702018000300018&script=sci_arttext,,2,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:18:52
"[CITAS][C]… Universidad Agraria de la Habana, basada en competencias laborales [tesisdedoctoradono publicada en ciencias económicas,Universidad de la Habana]",Tesis,"O Vázquez González - Nuñez Cruz, CR, Pelegrín Naranjo, A., Rodríguez …, 2019",20,19,,,,5,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:52
"[CITAS][C]… de Jardines de la Reina [Tesispresentada en opción al Título Académico de Master en Manejo Integrado de Zonas Costera,Universidad de la Habana…",Tesis,T Figueredo - 2009 -Universidad de la HabanaCuba,20,09 -Universidad de la HabanaCuba,,,,4,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:52
"[CITAS][C]Modelo para la caracterización de la profesión de diseño en el contexto social y productivo de cuba [TesisdeDoctorado,Universidad de la Habana]",Tesis,SL Peña - 2019,20,19,,,,4,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:52
"[CITAS][C]… el desarrollo de las habilidades de comprensión de lectura y expresión oral en inglés en estudiantes de ingeniería [Doctorado,Universidad de La Habana]",Artículo,"LAC Espino - La Habana, 2001",20,01,,,,4,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:52
[CITAS][C]Contribución de lastesisde grado de la Escuela de Pedagogía de laUniversidad de La Habanaal estudio de la Pedagogía Cubana entre los años 1901 y …,Tesis,EMS Sáez - 2016 - Editorial Universitaria,20,16 - Editorial Universitaria,,,,4,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:52
[CITAS][C]Proyectos profesionales y valores en estudiantes de la Licenciatura en Química de LaUniversidad de la Habana[tesisde diploma],Tesis,"Y Saiz - La Habana:Universidad de La Habana, 2011",20,11,,,,3,{},español,Facultad de Química,Universidad de La Habana,2025-06-06 20:18:52
[CITAS][C]Proyecto de vida y valores en estudiantes de la Licenciatura en Biología de laUniversidad de La Habana[tesisde diploma],Tesis,"B Ortet - La Habana:Universidad de La Habana, 2011",20,11,,,,3,{},español,Facultad de Biología,Universidad de La Habana,2025-06-06 20:18:52
[CITAS][C]Contribución de lastesisde grado de la Escuela de Pedagogía de laUniversidad de La Habanaal estudio de la Pedagogía Cubana,Tesis,"E Soto - 2016 -Tesis doctoral, Universidad de …",20,"16 -Tesis doctoral, Universidad de …",,,,3,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:52
[CITAS][C]… en el ordenamiento jurídico cubano de l. os derechos inherentes a la personalidad en la esfera moral (Tesis Doctoral) La Habana:Universidad de La Habana,Tesis,"Y Delgado Triana - La Habana, 2007",20,07,,,,3,{},español,Facultad de Derecho,Universidad de La Habana,2025-06-06 20:19:00
"[CITAS][C]Aproximación al estudio del diseño de procesos como instrumento de cambio en la gestión del hotel Palco,tesisde diploma,Universidad de La Habana",Tesis,D VELÁZQUEZ - 2009,20,09,,,,3,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:00
"[CITAS][C]Sistematización crítica sobre la Teoría de las Representaciones Sociales [Doctoradoen Ciencias Psicológicas,Universidad de la Habana]",Artículo,M Perera - 2006,20,06,,,,3,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:00
[CITAS][C]… de bananos y plátanos (Musaspp.) en Cuba.Tesispresentada en opción al grado científico de Doctor en Ciencias Biológicas.Universidad de La Habana,Tesis,MI Román - 2004,20,04,,,,3,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:00
"[CITAS][C]… del Llano”.Tesispresentada para alcanzar el título de Máster en Estudios Lingüísticos del Español como Lengua Extranjera.Universidad de La Habana, La …",Tesis,H Jiaqi - 2018,20,18,,,,3,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:00
[CITAS][C]… en el germoplasma deColocasiaesculenta (L.) en Cuba.Tesispara optar por el título de Doctor en Ciencias Biológicas.Universidad de La Habana,Tesis,A Rodríguez - 2001,20,01,,,,3,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:00
[CITAS][C]… : desafíos del estudio de la producción científica [Tesis]. Granada-La Habana: Universidad de Granada;Universidad de La Habana; 2010 [citado May 2014],Tesis,R Arencibia Jorge - 2010,20,10,,,,3,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:00
[CITAS][C]Caracterización de la esfera motivacional en estudiantes con discapacidad visual de laUniversidad de La Habana[tesisde Diploma],Tesis,"AY Márquez - … : Facultad de Psicología.Universidad de La Habana, 2002",20,02,,,,2,{},español,Facultad de Psicología,Universidad de La Habana,2025-06-06 20:19:00
"[CITAS][C]… gestión de la calidad del proceso de extensión universitaria en laUniversidad de La Habana[Tesis doctoral,Universidad de La Habana. Centro de estudios …",Tesis,AO González - 2016,20,16,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:00
"[CITAS][C]Sistema de gestión de calidad del proceso extensionista en laUniversidad de La Habana[Tesis Doctoral,Universidad de La Habana]",Tesis,O González - 2016,20,16,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:00
"[CITAS][C]… análisis del discurso en el campo académico de la comunicación social en FCOM-UH-UH: estudio de caso [tesisdedoctorado,Universidad de La Habana]",Tesis,Y Vázquez - 2022 -Universidad de La Habana,20,22 -Universidad de La Habana,,,,2,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:19:06
"[CITAS][C]La gestión del patrimonio fotográfico en laUniversidad de La Habana[Tesis Doctoral, Universidad de Granada]",Tesis,AD Batista Delgado - 2016,20,16,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:06
[CITAS][C]Al abrigo del Alma Mater Patrimonio cultural universitario: valores y experiencias de gestión desde laUniversidad de La Habana[Tesis Doctoral],Tesis,C Felipe - 2015,20,15,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:06
[CITAS][C]… de Recursos para el Aprendizaje y la Investigación como modelo de trabajo para la Red de Bibliotecas de LaUniversidad de La Habana(tesispara optar por …,Tesis,"E Bisset - Facultad de Comunicación,Universidad de La Habana…, 2012",20,12,,,,2,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:19:06
[CITAS][C]Metodología para el análisis de la fluctuación laboral del personal docente en laUniversidad de La Habana(Tesisinédita doctoral),Tesis,Y Puebla - 2019,20,19,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:06
[CITAS][C]Sistema de gestión de la calidad del proceso de extensión universitaria en laUniversidad de La Habana[Tesisen opción del grado de Doctor en Ciencias de …,Tesis,"O González - La Habana, 2016",20,16,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:06
[CITAS][C]su relación con la evolución en pacientes con insuficiencia renal crónica [Tesis].Universidad de La Habana. Facultad de Psicología,Tesis,DA Varona López - 2010 -Tesisde Máster en Psicología …,20,10 -Tesisde Máster en Psicología …,,,,2,{},español,Facultad de Psicología,Universidad de La Habana,2025-06-06 20:19:06
"[CITAS][C]La regulación de la prensa en Cuba. Referentes morales y deontológicos [tesis doctoral,Universidad de La Habana]",Tesis,J García Luis - 2004,20,04,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:06
"[CITAS][C]… de la gestión para la formación y desarrollo de los objetivos académicos de la Universidad de CienfuegosTesisdeDoctorado,Universidad de La Habana…",Tesis,R Alpízar Fernández - 2004,20,04,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:06
[CITAS][C]La evaluación de la alfabetización informacional en el contexto de la Educación Superior [Tesis Doctoral]: La Habana:Universidad de La Habana,Tesis,"G Meneses-Placeres - Universidad de Granada, 2007",20,07,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:06
[CITAS][C]… Sancionador y el Derecho Penal: El problema de sus límites en el ordenamiento jurídico cubano actual (tesis de maestríainédita)Universidad de La Habana…,Tesis,KM Espinosa - 2011,20,11,,,,2,{},español,Facultad de Derecho,Universidad de La Habana,2025-06-06 20:19:12
"[CITAS][C]… teórico-metodológica para la evaluación de la competencia experta en Ciencias de la Educación [Tesisdedoctorado, CEPES-Universidad de La Habana]",Tesis,Y Díaz - 2022,20,22,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:12
"Producción científica de laUniversidad de La Habanaen el Web of Science, 2000-2006",Artículo,"IA Lozano Díaz, BJ del Toro Gundin… - Acimed, 2008 - scielo.sld.cu",20,08 - scielo.sld.cu,"… partir de lastesisde diploma, maestría,doctoradoe informes … de laUniversidaddeLaHabana, fundamentalmente los … y el estudio realizado en latesisdoctoralpresentada por la Dra. …",http://scielo.sld.cu/scielo.php?pid=S1024-94352008001100005&script=sci_arttext,,6,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:12
[HTML][HTML]Propuesta de requisitos generales para el sistema de gestión documental de laUniversidad de La Habana,Artículo,"J del Castillo Guevara,MM Mena Mugica… - Revista Cubana de …, 2021 - scielo.sld.cu",20,21 - scielo.sld.cu,"… LaUniversidaddeLaHabanaapuesta por una gestión más segura, eficiente…doctoradoenCiencias de la Información, de la Facultad de Comunicación de laUniversidaddeLaHabana…",http://scielo.sld.cu/scielo.php?pid=S2307-21132021000100005&script=sci_arttext&tlng=pt,,21,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:19:12
[CITAS][C]… para la integración social de las personas transexuales en el contexto actual de la sociedad cubana [Tesis]. La Habana:Universidad de La Habana; 2014,Tesis,"M Castro Espín - Acceso, 2021",20,21,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:12
"[CITAS][C]Orientación profesional para la elección profesional responsableTesisde Doctor,Universidad de la Habana",Tesis,A Almeyda - 2016,20,16,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:12
[CITAS][C]… el costo de los exámenes de Laboratorio que intervienen en el Examen Médico Control de Salud Categoría I [tesis] La Habana:Universidad de La Habana,Tesis,"CE Hernández - Facultad de Contabilidad y Finanzas, 2012",20,12,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:12
"[CITAS][C]… para la productividad agropecuaria del municipio Camajuaní [Doctoradoen Ciencias Sociológicas,Universidad de La Habana. Facultad de Filosofía e …",Artículo,A Martínez Massip - 2018,20,18,,,,2,{},español,"Facultad de Filosofía, Historia y Sociología",Universidad de La Habana,2025-06-06 20:19:12
[CITAS][C]… por los oponentes de laTesisdedoctoradoSistema de Gestión de la calidad del proceso de extensión universitaria en laUniversidad de La Habana,Tesis,"O González - Comunicación oral, 2016",20,16,,,,2,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:19:12
"[CITAS][C]Grandes Síndromes Geriátricos [Tesis de maestría,Universidad de La Habana, Cuba]",Tesis,R Suárez - 2006,20,06,,,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:19:12
[CITAS][C]… a las preguntas de la Oponencia de laTesis“Sistema de Gestión de la calidad del proceso de extensión universitaria en laUniversidad de La Habana”,Tesis,"O González Aportela - Comunicación oral, 2016",20,16,,,,2,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:19:16
[CITAS][C]… de la Información y las Comunicaciones en la Facultad de Comunicación de laUniversidad de La Habana: estudio bibliométrico de lastesisde pregrado y …,Tesis,"ED Agramonte, AA Díaz, AH Salina, JL Hernández… - XV Congreso Internacional …, 2018",20,18,,,,1,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:19:16
